tei_file,file_stem,title,authors,author_count,year,doi,journal,publisher
00-Metaphorical Traits of the Language of the COVID-19 Pandemic_ A Short-Term Diachronic Study.tei.xml,00-Metaphorical Traits of the Language of the COVID-19 Pandemic_ A Short-Term Diachronic Study,Metaphorical Traits of the Language of the COVID-19 Pandemic: A Short-Term Diachronic Study,Ljubica Leone,1,,10.1080/0013838X.2026.2615904,,
00-On tokens and tokenisation_ a conjunctural approach to thinking GenAI in the Humanities classr.tei.xml,00-On tokens and tokenisation_ a conjunctural approach to thinking GenAI in the Humanities classr,"On tokens and tokenisation, a conjunctural approach to thinking GenAI in the Humanities classroom",Niall Martin,1,,10.1080/14735784.2025.2610181,,
00-The Pattern Nexus_ Postdigital Aesthetics_ Technoscience and Mysticism in Tom McCarthy_s The M.tei.xml,00-The Pattern Nexus_ Postdigital Aesthetics_ Technoscience and Mysticism in Tom McCarthy_s The M,"The Pattern Nexus: Postdigital Aesthetics, Technoscience and Mysticism in Tom McCarthy's The Making of Incarnation and Beyond",Stephan Besser,1,,10.1080/00111619.2026.2630966,,
00-Toxic intimacies_ Tawada Y_ko_s The Emissary as Counternarrative to Japan_s nuclear and enviro.tei.xml,00-Toxic intimacies_ Tawada Y_ko_s The Emissary as Counternarrative to Japan_s nuclear and enviro,Toxic intimacies: Tawada Yōko's The Emissary as Counternarrative to Japan's nuclear and environmental historiographies,Jerrine Tan; Franny Choi,2,,10.1080/0950236X.2025.2608005,,
00-_I made no sound at all__ Exploring Indonesia_s collective trauma in Saman and Enrico_s Love S.tei.xml,00-_I made no sound at all__ Exploring Indonesia_s collective trauma in Saman and Enrico_s Love S,"""I made no sound at all"": Exploring Indonesia's collective trauma in Saman and Enrico's Love Story by Ayu Utami",Silvia Mayasari-Hoffert; Department of Southeast Asian Studies Goethe-Universität Frankfurt am Main Frankfurt am Main Germany; Department of Southeast Asian Studies Goethe-Universität Frankfurt am Main Rostocker Straße 2 60323 Frankfurt am Main Germany,3,,10.1080/17449855.2026.2623174,,
01-Apple Trees and Plastic Ducks_ Gardens as Post-pastoral Landscapes in Contemporary British Fic.tei.xml,01-Apple Trees and Plastic Ducks_ Gardens as Post-pastoral Landscapes in Contemporary British Fic,Apple Trees and Plastic Ducks: Gardens as Post-pastoral Landscapes in Contemporary British Fiction,"Silvia Rosivalova Baucekova; English Studies; Department of British and American Studies Pavol Jozef Šafárik University Košice Slovakia; Silvia Rosivalova Baucekova; Alfrey, Daniels, and Postle Art of the Garden 9. 3 Ibid; Office for National Statistics, ""One in Eight British Households Has No Garden",6,,10.1080/0013838X.2026.2615905,,
01-Hopegoing_ Animist metaphor as deferred hope in Yaa Gyasi_s Homegoing.tei.xml,01-Hopegoing_ Animist metaphor as deferred hope in Yaa Gyasi_s Homegoing,Hopegoing: Animist metaphor as deferred hope in Yaa Gyasi's Homegoing,Jay Rajiva,1,,10.1080/17449855.2026.2621675,,
01-Liberated territory_ on the poetry and pedagogy of Tongo Eisen-Martin.tei.xml,01-Liberated territory_ on the poetry and pedagogy of Tongo Eisen-Martin,Liberated territory: on the poetry and pedagogy of Tongo Eisen-Martin,Thomas Allen; Tongo Eisen-Martin,2,,10.1080/0950236X.2025.2608010,,
01-Mahb_bperest_ uranist and transvestite_ translating sexology in the Late Ottoman Empire and Ea.tei.xml,01-Mahb_bperest_ uranist and transvestite_ translating sexology in the Late Ottoman Empire and Ea,"Mahbûbperest, uranist and transvestite: translating sexology in the Late Ottoman Empire and Early Republican Turkey",Ezgi Sarıtaş,1,,10.1080/14735784.2025.2575401,,
01-_The Origin of Everything__ Sex Against Social Convention in Sally Rooney_s Normal People and .tei.xml,01-_The Origin of Everything__ Sex Against Social Convention in Sally Rooney_s Normal People and ,"""The Origin of Everything"": Sex Against Social Convention in Sally Rooney's Normal People and Intermezzo",Genevieve Couvret,1,,10.1080/00111619.2026.2636850,,
