file,file_stem,journal_label,section_entropy
00-Metaphorical Traits of the Language of the COVID-19 Pandemic_ A Short-Term Diachronic Study.pdf,00-Metaphorical Traits of the Language of the COVID-19 Pandemic_ A Short-Term Diachronic Study,UNKNOWN,2.8929308482050113
00-On tokens and tokenisation_ a conjunctural approach to thinking GenAI in the Humanities classr.pdf,00-On tokens and tokenisation_ a conjunctural approach to thinking GenAI in the Humanities classr,UNKNOWN,2.356967635738849
00-The Pattern Nexus_ Postdigital Aesthetics_ Technoscience and Mysticism in Tom McCarthy_s The M.pdf,00-The Pattern Nexus_ Postdigital Aesthetics_ Technoscience and Mysticism in Tom McCarthy_s The M,UNKNOWN,2.2290208419328965
00-Toxic intimacies_ Tawada Y_ko_s The Emissary as Counternarrative to Japan_s nuclear and enviro.pdf,00-Toxic intimacies_ Tawada Y_ko_s The Emissary as Counternarrative to Japan_s nuclear and enviro,UNKNOWN,2.8371401492727077
00-_I made no sound at all__ Exploring Indonesia_s collective trauma in Saman and Enrico_s Love S.pdf,00-_I made no sound at all__ Exploring Indonesia_s collective trauma in Saman and Enrico_s Love S,UNKNOWN,2.4368570436842942
01-Apple Trees and Plastic Ducks_ Gardens as Post-pastoral Landscapes in Contemporary British Fic.pdf,01-Apple Trees and Plastic Ducks_ Gardens as Post-pastoral Landscapes in Contemporary British Fic,UNKNOWN,1.557343896870944
01-Hopegoing_ Animist metaphor as deferred hope in Yaa Gyasi_s Homegoing.pdf,01-Hopegoing_ Animist metaphor as deferred hope in Yaa Gyasi_s Homegoing,UNKNOWN,2.5231403940563943
01-Liberated territory_ on the poetry and pedagogy of Tongo Eisen-Martin.pdf,01-Liberated territory_ on the poetry and pedagogy of Tongo Eisen-Martin,UNKNOWN,1.9481759598839654
01-Mahb_bperest_ uranist and transvestite_ translating sexology in the Late Ottoman Empire and Ea.pdf,01-Mahb_bperest_ uranist and transvestite_ translating sexology in the Late Ottoman Empire and Ea,UNKNOWN,2.482563636449699
01-_The Origin of Everything__ Sex Against Social Convention in Sally Rooney_s Normal People and .pdf,01-_The Origin of Everything__ Sex Against Social Convention in Sally Rooney_s Normal People and ,UNKNOWN,1.7527638282433395
